target
lcl|JH159151.1_cds_EGZ27950.1_1468
lcl|JH159151.1_cds_EGZ29330.1_2854
lcl|JH159151.1_cds_EGZ29403.1_2927
lcl|NW_009258115.1_cds_XP_009515225.1_1468
lcl|NW_009258115.1_cds_XP_009516605.1_2854
lcl|NW_009258115.1_cds_XP_009516678.1_2927
lcl|JH159157.1_cds_EGZ11915.1_452
lcl|JH159156.1_cds_EGZ13607.1_854
lcl|NW_009258121.1_cds_XP_009532248.1_452
lcl|JH159153.1_cds_EGZ19514.1_454
lcl|JH159153.1_cds_EGZ21500.1_2447
lcl|NW_009258120.1_cds_XP_009531036.1_854
lcl|JH159154.1_cds_EGZ16995.1_563
lcl|JH159154.1_cds_EGZ18712.1_2281
lcl|JH159152.1_cds_EGZ22956.1_182
lcl|JH159152.1_cds_EGZ23312.1_538
lcl|JH159152.1_cds_EGZ24581.1_1809
lcl|JH159152.1_cds_EGZ24582.1_1810
lcl|NW_009258117.1_cds_XP_009522231.1_454
lcl|NW_009258117.1_cds_XP_009524217.1_2447
lcl|JH159158.1_cds_EGZ11108.1_771
lcl|JH159160.1_cds_EGZ08658.1_89
lcl|JH159160.1_cds_EGZ09074.1_505
lcl|JH159162.1_cds_EGZ07197.1_22
lcl|JH159162.1_cds_EGZ07713.1_539
lcl|JH159162.1_cds_EGZ07761.1_587
lcl|NW_009258118.1_cds_XP_009526053.1_563
lcl|NW_009258118.1_cds_XP_009527770.1_2281
lcl|JH159163.1_cds_EGZ06960.1_349
lcl|NW_009258116.1_cds_XP_009518244.1_182
lcl|NW_009258116.1_cds_XP_009518600.1_538
lcl|NW_009258116.1_cds_XP_009519869.1_1809
lcl|NW_009258116.1_cds_XP_009519870.1_1810
lcl|JH159151.1_cds_EGZ29783.1_3308
lcl|NW_009258115.1_cds_XP_009517058.1_3308
lcl|JH159155.1_cds_EGZ14669.1_300
lcl|JH159157.1_cds_EGZ12706.1_1243
lcl|NW_009258119.1_cds_XP_009528418.1_300
lcl|NW_009258121.1_cds_XP_009533039.1_1243
lcl|JH159159.1_cds_EGZ10247.1_901
